iter	R2	RMSE
0	0.08425187506	709.489649
1	0.1594115647	679.7508355
2	0.2226242805	653.6925428
3	0.2851866781	626.836625
4	0.340528765	602.082457
5	0.3962708705	576.0751083
6	0.4445231282	552.5747492
7	0.4868073718	531.1268409
8	0.5246458636	511.1715605
9	0.5632071921	489.9996661
10	0.5957851743	471.3724152
11	0.6261429745	453.326198
12	0.6544802507	435.807282
13	0.6796286032	419.6477627
14	0.7040812194	403.3149392
15	0.7279955953	386.6749278
16	0.7491405528	371.3413186
17	0.7666651068	358.135926
18	0.7845483018	344.1382972
19	0.800827282	330.8818686
20	0.8153323888	318.6056039
21	0.8300329168	305.6612998
22	0.8423560694	294.3721176
23	0.853881983	283.4065802
24	0.8642088683	273.2082118
25	0.8747496653	262.3901285
26	0.8828471492	253.7666084
27	0.8912887227	244.4529846
28	0.8985155658	236.1879638
29	0.9057062596	227.666681
30	0.9118508096	220.123905
31	0.917551231	212.8874857
32	0.9230149295	205.712793
33	0.9282447765	198.6025431
34	0.932493218	192.6334699
35	0.9364989254	186.8308467
36	0.9405075813	180.8376513
37	0.9445795335	174.5392611
38	0.9480475557	168.9900123
39	0.9512106001	163.7648843
40	0.9544709198	158.1985444
41	0.9569310172	153.8651811
42	0.9596400768	148.9474972
43	0.9619865057	144.552944
44	0.9640850136	140.5063325
45	0.9661731245	136.3606263
46	0.9679272148	132.7780794
47	0.9698003739	128.8424064
48	0.9714376283	125.301185
49	0.9728262359	122.2173732
50	0.9742719722	118.9217504
51	0.9755659795	115.892548
52	0.9767406223	113.072525
53	0.9777855409	110.5034701
54	0.978819022	107.9023863
55	0.9796499667	105.7646671
56	0.9806195101	103.2144304
57	0.9814076314	101.0940057
58	0.9821669796	99.00804786
59	0.9829596349	96.78264639
60	0.9835545091	95.07831272
61	0.9841185119	93.43372028
62	0.984740385	91.5861564
63	0.9852814564	89.94778325
64	0.9856755047	88.73556295
65	0.9860197037	87.66298052
66	0.9865204445	86.07872597
67	0.986957312	84.67234691
68	0.9873391491	83.42370837
69	0.9876747166	82.3107391
70	0.9879332314	81.44295767
71	0.9882514504	80.36189554
72	0.9885094015	79.47478663
73	0.9888585096	78.25817024
74	0.9891622956	77.18389592
75	0.9894498981	76.15288684
76	0.9896925107	75.27217929
77	0.9898961903	74.52476629
78	0.9900945348	73.7896556
79	0.9903104235	72.9811063
80	0.9904972863	72.27396259
81	0.9906510163	71.68697367
82	0.9907961871	71.12821912
83	0.9909177917	70.65676893
84	0.991068578	70.06777869
85	0.99120254	69.54032151
86	0.9913461561	68.97037282
87	0.9914861988	68.41003254
88	0.9915662532	68.08764686
89	0.9916722585	67.65839035
90	0.9917766815	67.23286203
91	0.9918764365	66.8238254
92	0.9919717028	66.4308432
93	0.9920840933	65.96421196
94	0.9921502081	65.68816308
95	0.9922361607	65.32754139
96	0.9923130162	65.00339338
97	0.9923666448	64.77624675
98	0.9924473613	64.43285877
99	0.9925033876	64.19342893
100	0.9925821373	63.85537204
101	0.9926520982	63.55353548
102	0.9927237258	63.24301618
103	0.9927791039	63.00189227
104	0.9928406613	62.73277486
105	0.9928897455	62.517358
106	0.9929361305	62.31310322
107	0.9929754131	62.13959807
108	0.9930320171	61.88873156
109	0.9930623203	61.75401037
110	0.9931038486	61.56890621
111	0.9931183462	61.50415464
112	0.9931569201	61.33153725
113	0.9931859236	61.20142651
114	0.993213913	61.07560196
115	0.9932387074	60.96392374
116	0.9932538464	60.89563432
117	0.9933181224	60.60483921
118	0.9933426824	60.49335661
119	0.9933631438	60.4003213
120	0.9933799552	60.32377451
121	0.9934100181	60.18664792
122	0.9934346936	60.07386094
123	0.9934698359	59.9128657
124	0.9934906308	59.81739532
125	0.9935193753	59.68517607
126	0.9935446603	59.56862756
127	0.9935754604	59.42634921
128	0.9936056396	59.28660745
129	0.9936859048	58.91333496
130	0.9937282676	58.71537056
131	0.9937456535	58.63393134
132	0.9937642673	58.54661497
133	0.9937813744	58.46625128
134	0.9937937027	58.40826868
135	0.9938368237	58.20500625
136	0.9938553161	58.1176195
137	0.9938832803	57.98522351
138	0.9939474196	57.6804085
139	0.9939700642	57.57240749
140	0.9939882652	57.48545195
141	0.9940459574	57.20895497
142	0.9940691769	57.0972946
143	0.9940842504	57.02469063
144	0.9941003421	56.94708007
