iter	Passed	Remaining
0	199	199761
1	272	135789
2	337	112246
3	407	101461
4	478	95145
5	549	90969
6	612	86957
7	671	83327
8	728	80197
9	784	77653
10	838	75392
11	886	72963
12	945	71814
13	984	69348
14	1045	68680
15	1105	67975
16	1162	67214
17	1220	66605
18	1277	65958
19	1341	65752
20	1402	65390
21	1459	64897
22	1517	64476
23	1574	64048
24	1629	63543
25	1685	63136
26	1742	62791
27	1820	63204
28	1897	63526
29	1977	63939
30	2037	63675
31	2092	63306
32	2168	63554
33	2225	63235
34	2283	62948
35	2321	62161
36	2378	61912
37	2441	61803
38	2495	61497
39	2551	61238
40	2606	60970
41	2661	60715
42	2718	60498
43	2774	60281
44	2835	60171
45	2890	59938
46	2946	59742
47	3002	59546
48	3060	59401
49	3116	59204
50	3171	59005
51	3225	58801
52	3279	58605
53	3338	58479
54	3396	58350
55	3442	58030
56	3496	57851
57	3551	57675
58	3606	57516
59	3659	57332
60	3715	57187
61	3769	57022
62	3824	56885
63	3879	56739
64	3937	56640
65	3992	56495
66	4045	56336
67	4101	56220
68	4156	56079
69	4210	55937
70	4266	55829
71	4323	55719
72	4377	55591
73	4431	55454
74	4487	55343
75	4541	55216
76	4595	55091
77	4652	54994
78	4706	54870
79	4763	54783
80	4819	54683
81	4875	54577
82	4929	54457
83	4984	54351
84	5038	54240
85	5093	54136
86	5147	54019
87	5203	53925
88	5231	53545
89	5286	53452
90	5341	53353
91	5395	53253
92	5450	53160
93	5512	53130
94	5565	53014
95	5620	52926
96	5665	52745
97	5727	52718
98	5781	52618
99	5838	52547
100	5893	52454
101	5996	52794
102	6052	52712
103	6104	52595
104	6157	52486
105	6201	52303
106	6255	52210
107	6310	52117
108	6365	52030
109	6422	51966
110	6478	51882
111	6496	51505
112	6539	51329
113	6592	51234
114	6621	50955
115	6673	50859
116	6727	50775
117	6784	50709
118	6840	50642
119	6888	50513
120	6946	50464
121	7004	50412
122	7073	50432
123	7137	50420
124	7190	50333
125	7243	50247
126	7300	50184
127	7357	50120
128	7416	50074
129	7476	50037
130	7533	49972
131	7588	49897
132	7614	49637
133	7641	49383
134	7669	49141
135	7722	49062
136	7772	48962
137	7829	48904
138	7882	48828
139	7936	48755
140	7991	48683
141	8044	48606
142	8100	48545
143	8166	48544
144	8233	48550
145	8297	48535
146	8357	48495
147	8410	48416
148	8468	48369
149	8532	48351
150	8597	48338
151	8657	48297
152	8720	48276
153	8787	48272
154	8855	48278
155	8913	48224
156	8967	48152
157	9022	48083
158	9075	48003
159	9127	47917
160	9179	47836
161	9231	47754
162	9287	47691
163	9340	47612
164	9398	47561
165	9451	47486
166	9504	47406
167	9557	47331
168	9610	47254
169	9665	47190
170	9719	47118
171	9775	47059
172	9827	46979
173	9893	46965
174	9946	46891
175	9999	46815
176	10056	46760
177	10109	46687
178	10165	46624
179	10218	46548
180	10273	46484
181	10324	46402
182	10379	46338
183	10435	46277
184	10488	46207
185	10539	46123
186	10592	46050
187	10644	45973
188	10697	45902
189	10749	45826
190	10803	45760
191	10855	45683
192	10909	45617
193	10965	45556
194	11017	45481
195	11070	45409
196	11123	45342
197	11175	45264
198	11231	45209
199	11284	45137
200	11337	45069
201	11396	45021
202	11455	44974
203	11509	44907
204	11562	44840
205	11615	44770
206	11669	44705
207	11725	44646
208	11778	44578
209	11835	44525
210	11889	44459
211	11942	44389
212	11999	44337
213	12052	44265
214	12106	44202
215	12160	44138
216	12215	44076
217	12269	44011
218	12325	43954
219	12380	43894
220	12430	43817
221	12486	43760
222	12539	43690
223	12592	43623
224	12643	43549
225	12699	43492
226	12753	43428
227	12806	43361
228	12859	43295
229	12915	43237
230	12969	43175
231	13022	43109
232	13075	43042
233	13126	42970
234	13182	42914
235	13237	42852
236	13289	42784
237	13340	42712
238	13395	42652
239	13447	42584
240	13498	42513
241	13553	42452
242	13607	42390
243	13661	42329
244	13719	42278
245	13773	42215
246	13826	42152
247	13879	42085
248	13929	42012
249	13983	41951
250	14035	41884
251	14089	41821
252	14148	41773
253	14210	41735
254	14275	41706
255	14338	41670
256	14400	41633
257	14474	41628
258	14532	41577
259	14586	41516
260	14641	41454
261	14698	41403
262	14758	41357
263	14831	41348
264	14908	41350
265	14978	41331
266	15041	41292
267	15095	41231
268	15156	41187
269	15216	41141
270	15281	41107
271	15341	41060
272	15399	41010
273	15455	40951
274	15515	40905
275	15572	40849
276	15629	40794
277	15693	40759
278	15748	40697
279	15836	40721
280	15904	40695
281	15965	40650
282	16021	40591
283	16074	40526
284	16127	40460
285	16197	40437
286	16264	40405
287	16329	40370
288	16399	40346
289	16458	40294
290	16515	40239
291	16577	40194
292	16635	40141
293	16694	40088
294	16751	40032
295	16809	39980
296	16870	39933
297	16931	39884
298	17001	39860
299	17069	39828
300	17135	39793
301	17214	39787
302	17286	39763
303	17346	39714
304	17414	39682
305	17483	39652
306	17550	39616
307	17612	39571
308	17681	39540
309	17746	39499
310	17822	39484
311	17896	39464
312	17959	39420
313	18023	39376
314	18084	39325
315	18136	39256
316	18192	39196
317	18254	39150
318	18316	39102
319	18376	39049
320	18430	38985
321	18485	38922
322	18538	38856
323	18594	38796
324	18648	38732
325	18704	38671
326	18770	38630
327	18831	38582
328	18895	38537
329	18949	38472
330	19001	38404
331	19059	38348
332	19111	38281
333	19177	38239
334	19240	38193
