Region,Category,Crafting Process,Base Material Price,Dimensions,Hours of Labor,Transport Distance,Price
West India,Toys,Hand-Painted,1471.43,6288.41,32.8,858.1,2140.52
Central India,Bamboo Products,Machine-Assisted,1570.65,9467.25,26.0,392.0,1802.6
East India,Terracotta Pottery,Handwoven,280.53,5839.74,53.9,888.8,958.97
Central India,Textiles,Handmade,50.06,5448.15,82.6,241.0,914.01
Central India,Painting & Decorative Arts,Handwoven,1438.67,598.2,11.2,280.9,1881.06
South India,Painting & Decorative Arts,Handmade,745.36,722.78,94.4,54.1,1984.95
East India,Textiles,Machine-Assisted,546.24,1954.73,79.7,795.8,1262.73
East India,Textiles,Machine-Assisted,75.15,421.46,18.9,417.6,301.81
East India,Terracotta Pottery,Hand-Painted,1103.58,7459.19,71.5,229.9,2128.2
Central India,Bamboo Products,Handmade,1709.74,7260.97,39.1,232.6,2503.95
West India,Painting & Decorative Arts,Handmade,1917.38,1446.96,40.8,901.5,2863.78
East India,Terracotta Pottery,Hand-Painted,1153.2,8377.18,78.5,834.1,2255.38
Central India,Bamboo Products,Hand-Painted,1053.2,1632.38,96.3,554.0,2342.81
South India,Terracotta Pottery,Handmade,215.86,3081.64,13.5,616.5,434.5
West India,Painting & Decorative Arts,Hand-Painted,1120.3,2564.87,42.6,474.9,1913.03
South India,Textiles,Machine-Assisted,790.96,3785.84,48.6,392.3,1198.24
West India,Textiles,Handwoven,1233.91,2621.17,38.3,915.6,1960.68
Central India,Bamboo Products,Machine-Assisted,808.02,4940.61,37.0,126.5,1207.07
North India,Toys,Hand-Painted,518.58,4133.34,6.2,419.0,593.74
West India,Bamboo Products,Handmade,235.18,9867.04,68.9,345.2,1148.94
South India,Toys,Handmade,664.09,653.67,44.2,498.7,1371.14
Central India,Terracotta Pottery,Machine-Assisted,238.46,1507.6,20.3,458.2,425.87
West India,Terracotta Pottery,Handmade,394.95,622.98,81.8,519.4,1518.16
North India,Painting & Decorative Arts,Hand-Painted,1975.31,6295.83,80.5,140.8,3393.19
North India,Toys,Machine-Assisted,916.0,639.64,49.2,513.6,1413.16
East India,Painting & Decorative Arts,Handmade,1087.15,8380.75,30.5,243.2,1648.01
East India,Textiles,Handwoven,1753.56,5168.19,64.2,185.1,2826.03
South India,Toys,Handwoven,1991.36,5317.38,29.5,65.8,2741.75
West India,Bamboo Products,Hand-Painted,1186.29,5659.79,24.4,762.9,1744.84
West India,Textiles,Handmade,1634.32,1791.06,73.3,428.0,2824.58
East India,Textiles,Hand-Painted,687.53,2057.13,5.0,627.0,775.16
West India,Bamboo Products,Machine-Assisted,646.2,3256.29,10.4,727.9,813.64
West India,Textiles,Handwoven,835.27,5975.61,1.7,679.6,1032.24
North India,Toys,Machine-Assisted,1361.39,2180.17,16.1,471.0,1503.41
East India,Painting & Decorative Arts,Handmade,1380.27,1251.68,7.8,388.5,1792.78
Central India,Textiles,Hand-Painted,664.72,9704.16,99.6,376.6,2069.1
East India,Toys,Hand-Painted,309.76,317.62,29.6,640.4,586.82
Central India,Terracotta Pottery,Hand-Painted,1283.17,8046.7,15.8,495.3,1751.12
North India,Toys,Machine-Assisted,300.24,7901.55,24.9,849.3,477.91
South India,Painting & Decorative Arts,Handwoven,1178.06,3042.42,93.7,874.8,2563.03
West India,Toys,Machine-Assisted,1402.17,1442.7,52.5,171.4,1933.57
North India,Bamboo Products,Machine-Assisted,1416.19,1541.72,37.1,137.1,1818.98
West India,Painting & Decorative Arts,Handmade,1519.27,7004.57,87.5,630.8,2848.16
South India,Terracotta Pottery,Handmade,1752.08,6463.79,40.1,301.9,2490.03
South India,Bamboo Products,Handmade,1024.92,7849.18,34.2,19.6,1617.79
